id,left,top,right,bottom,row_index,col_index,grid_area,density,b_area_sum,building_density,density_final1,green_mean
987,1119102.539600000018254,1670707.949100000085309,1119602.539600000018254,1670207.949100000318140,82,8,125379.154,0.058,6101.798000,0.049,0.049,0
1069,1119602.539600000018254,1686207.949100000318140,1120102.539600000018254,1685707.949100000085309,51,9,14301.178,0.000,,,,0.9
1070,1119602.539600000018254,1685707.949100000085309,1120102.539600000018254,1685207.949100000318140,52,9,242547.590,0.000,,,,0.924812030075188
1071,1119602.539600000018254,1685207.949100000318140,1120102.539600000018254,1684707.949100000085309,53,9,250111.522,0.292,89629.882000,0.358,0.358,0.460207612456747
1072,1119602.539600000018254,1684707.949100000085309,1120102.539600000018254,1684207.949100000318140,54,9,250111.522,0.207,67612.307000,0.270,0.270,0.154411764705882
1073,1119602.539600000018254,1684207.949100000318140,1120102.539600000018254,1683707.949100000085309,55,9,250111.521,0.000,,,,0.875432525951557
1074,1119602.539600000018254,1683707.949100000085309,1120102.539600000018254,1683207.949100000318140,56,9,250111.521,0.007,1574.783000,0.006,0.006,0.745583038869258
1075,1119602.539600000018254,1683207.949100000318140,1120102.539600000018254,1682707.949100000085309,57,9,215753.129,0.000,,,,0.13963963963964
1076,1119602.539600000018254,1682707.949100000085309,1120102.539600000018254,1682207.949100000318140,58,9,1425.571,0.000,,,,0
1086,1119602.539600000018254,1677707.949100000085309,1120102.539600000018254,1677207.949100000318140,68,9,12191.724,0.000,,,,0
1087,1119602.539600000018254,1677207.949100000318140,1120102.539600000018254,1676707.949100000085309,69,9,250111.520,0.007,1458.421000,0.006,0.006,0
1088,1119602.539600000018254,1676707.949100000085309,1120102.539600000018254,1676207.949100000318140,70,9,47842.851,0.000,,,,0
1090,1119602.539600000018254,1675707.949100000085309,1120102.539600000018254,1675207.949100000318140,72,9,198881.411,0.000,,,,0
1091,1119602.539600000018254,1675207.949100000318140,1120102.539600000018254,1674707.949100000085309,73,9,123110.542,0.022,2393.444000,0.019,0.019,0.00763358778625954
1092,1119602.539600000018254,1674707.949100000085309,1120102.539600000018254,1674207.949100000318140,74,9,250111.520,0.003,464.371000,0.002,0.002,1
1093,1119602.539600000018254,1674207.949100000318140,1120102.539600000018254,1673707.949100000085309,75,9,250111.520,0.000,,,,1
1094,1119602.539600000018254,1673707.949100000085309,1120102.539600000018254,1673207.949100000318140,76,9,250111.520,0.000,,,,1
1095,1119602.539600000018254,1673207.949100000318140,1120102.539600000018254,1672707.949100000085309,77,9,250111.519,0.000,,,,1
1096,1119602.539600000018254,1672707.949100000085309,1120102.539600000018254,1672207.949100000318140,78,9,215203.540,0.031,4699.443000,0.022,0.022,0.841201716738197
1097,1119602.539600000018254,1672207.949100000318140,1120102.539600000018254,1671707.949100000085309,79,9,216492.938,0.032,4722.621000,0.022,0.022,0.873469387755102
1098,1119602.539600000018254,1671707.949100000085309,1120102.539600000018254,1671207.949100000318140,80,9,199610.711,0.096,13196.776000,0.066,0.066,0.783018867924528
1099,1119602.539600000018254,1671207.949100000318140,1120102.539600000018254,1670707.949100000085309,81,9,67230.827,0.205,9116.258000,0.136,0.136,0
1100,1119602.539600000018254,1670707.949100000085309,1120102.539600000018254,1670207.949100000318140,82,9,227301.990,0.003,503.259000,0.002,0.002,0
1101,1119602.539600000018254,1670207.949100000318140,1120102.539600000018254,1669707.949100000085309,83,9,9111.617,0.000,,,,0
1183,1120102.539600000018254,1685707.949100000085309,1120602.539600000018254,1685207.949100000318140,52,10,149127.521,0.000,,,,0.98159509202454
1184,1120102.539600000018254,1685207.949100000318140,1120602.539600000018254,1684707.949100000085309,53,10,250110.781,0.084,45842.548000,0.183,0.183,0.685121107266436
1185,1120102.539600000018254,1684707.949100000085309,1120602.539600000018254,1684207.949100000318140,54,10,250110.781,0.143,47913.979000,0.192,0.192,0.1875
1186,1120102.539600000018254,1684207.949100000318140,1120602.539600000018254,1683707.949100000085309,55,10,250110.781,0.016,7075.887000,0.028,0.028,0.70242214532872
1187,1120102.539600000018254,1683707.949100000085309,1120602.539600000018254,1683207.949100000318140,56,10,250110.781,0.219,50336.548000,0.201,0.201,0.670212765957447
1188,1120102.539600000018254,1683207.949100000318140,1120602.539600000018254,1682707.949100000085309,57,10,250110.781,0.000,,,,0.455197132616487
1189,1120102.539600000018254,1682707.949100000085309,1120602.539600000018254,1682207.949100000318140,58,10,50956.236,0.000,,,,0.245614035087719
1195,1120102.539600000018254,1679707.949100000085309,1120602.539600000018254,1679207.949100000318140,64,10,1289.637,0.000,,,,0
1196,1120102.539600000018254,1679207.949100000318140,1120602.539600000018254,1678707.949100000085309,65,10,40338.344,0.004,93.420000,0.002,0.002,0.04
1199,1120102.539600000018254,1677707.949100000085309,1120602.539600000018254,1677207.949100000318140,68,10,104829.233,0.340,54153.999000,0.517,0.517,0.0176991150442478
1200,1120102.539600000018254,1677207.949100000318140,1120602.539600000018254,1676707.949100000085309,69,10,250110.780,0.004,955.634000,0.004,0.004,0
1201,1120102.539600000018254,1676707.949100000085309,1120602.539600000018254,1676207.949100000318140,70,10,44050.741,0.000,,,,0
1202,1120102.539600000018254,1676207.949100000318140,1120602.539600000018254,1675707.949100000085309,71,10,8223.307,0.000,,,,0
1203,1120102.539600000018254,1675707.949100000085309,1120602.539600000018254,1675207.949100000318140,72,10,244582.352,0.012,2533.471000,0.010,0.010,0
1204,1120102.539600000018254,1675207.949100000318140,1120602.539600000018254,1674707.949100000085309,73,10,83630.182,0.030,2201.305000,0.026,0.026,0.10126582278481
1205,1120102.539600000018254,1674707.949100000085309,1120602.539600000018254,1674207.949100000318140,74,10,250110.779,0.006,1092.299000,0.004,0.004,0.992857142857143
1206,1120102.539600000018254,1674207.949100000318140,1120602.539600000018254,1673707.949100000085309,75,10,250110.779,0.000,,,,1
1207,1120102.539600000018254,1673707.949100000085309,1120602.539600000018254,1673207.949100000318140,76,10,250110.779,0.000,,,,1
1208,1120102.539600000018254,1673207.949100000318140,1120602.539600000018254,1672707.949100000085309,77,10,250110.779,0.000,,,,1
1209,1120102.539600000018254,1672707.949100000085309,1120602.539600000018254,1672207.949100000318140,78,10,250110.779,0.001,204.396000,0.001,0.001,1
1210,1120102.539600000018254,1672207.949100000318140,1120602.539600000018254,1671707.949100000085309,79,10,250110.779,0.000,67.018000,0.000,0.000,1
1211,1120102.539600000018254,1671707.949100000085309,1120602.539600000018254,1671207.949100000318140,80,10,250110.779,0.022,3939.480000,0.016,0.016,0.774891774891775
1212,1120102.539600000018254,1671207.949100000318140,1120602.539600000018254,1670707.949100000085309,81,10,250110.779,0.027,5505.341000,0.022,0.022,0
1213,1120102.539600000018254,1670707.949100000085309,1120602.539600000018254,1670207.949100000318140,82,10,250110.778,0.000,418.438000,0.002,0.002,0
1214,1120102.539600000018254,1670207.949100000318140,1120602.539600000018254,1669707.949100000085309,83,10,100718.843,0.000,,,,0
1216,1120102.539600000018254,1669207.949100000318140,1120602.539600000018254,1668707.949100000085309,85,10,8672.009,0.000,,,,0
1217,1120102.539600000018254,1668707.949100000085309,1120602.539600000018254,1668207.949100000318140,86,10,61631.846,0.000,,,,0
1218,1120102.539600000018254,1668207.949100000318140,1120602.539600000018254,1667707.949100000085309,87,10,3265.036,0.000,,,,0
1296,1120602.539600000018254,1685707.949100000085309,1121102.539600000018254,1685207.949100000318140,52,11,71876.854,0.000,,,,0.986486486486487
1297,1120602.539600000018254,1685207.949100000318140,1121102.539600000018254,1684707.949100000085309,53,11,250110.037,0.212,69566.987000,0.278,0.278,0.660649819494585
1298,1120602.539600000018254,1684707.949100000085309,1121102.539600000018254,1684207.949100000318140,54,11,250110.037,0.359,108185.901000,0.433,0.433,0.319852941176471
1299,1120602.539600000018254,1684207.949100000318140,1121102.539600000018254,1683707.949100000085309,55,11,250110.037,0.293,81849.458000,0.327,0.327,0.346020761245675
1300,1120602.539600000018254,1683707.949100000085309,1121102.539600000018254,1683207.949100000318140,56,11,250110.037,0.058,17211.628000,0.069,0.069,0.904411764705882
1301,1120602.539600000018254,1683207.949100000318140,1121102.539600000018254,1682707.949100000085309,57,11,250110.037,0.000,,,,1
1302,1120602.539600000018254,1682707.949100000085309,1121102.539600000018254,1682207.949100000318140,58,11,168077.112,0.000,,,,0.994623655913978
1308,1120602.539600000018254,1679707.949100000085309,1121102.539600000018254,1679207.949100000318140,64,11,91711.601,0.193,25735.215000,0.281,0.281,0.275510204081633
1309,1120602.539600000018254,1679207.949100000318140,1121102.539600000018254,1678707.949100000085309,65,11,249632.630,0.479,118776.801000,0.476,0.476,0.143884892086331
1310,1120602.539600000018254,1678707.949100000085309,1121102.539600000018254,1678207.949100000318140,66,11,149064.822,0.360,53363.376000,0.358,0.358,0.0303030303030303
1311,1120602.539600000018254,1678207.949100000318140,1121102.539600000018254,1677707.949100000085309,67,11,41811.776,0.019,12357.774000,0.296,0.296,0.0961538461538462
1312,1120602.539600000018254,1677707.949100000085309,1121102.539600000018254,1677207.949100000318140,68,11,212617.502,0.304,89650.273000,0.422,0.422,0.0512820512820513
1313,1120602.539600000018254,1677207.949100000318140,1121102.539600000018254,1676707.949100000085309,69,11,250110.036,0.014,3461.201000,0.014,0.014,0
1314,1120602.539600000018254,1676707.949100000085309,1121102.539600000018254,1676207.949100000318140,70,11,40279.820,0.000,,,,0
1315,1120602.539600000018254,1676207.949100000318140,1121102.539600000018254,1675707.949100000085309,71,11,56824.184,0.000,,,,0
1316,1120602.539600000018254,1675707.949100000085309,1121102.539600000018254,1675207.949100000318140,72,11,249016.067,0.009,1850.569000,0.007,0.007,0.174825174825175
1317,1120602.539600000018254,1675207.949100000318140,1121102.539600000018254,1674707.949100000085309,73,11,221026.335,0.000,27.674000,0.000,0.000,0.902127659574468
1318,1120602.539600000018254,1674707.949100000085309,1121102.539600000018254,1674207.949100000318140,74,11,250110.035,0.000,39.932000,0.000,0.000,0.97153024911032
1319,1120602.539600000018254,1674207.949100000318140,1121102.539600000018254,1673707.949100000085309,75,11,250110.035,0.001,84.783000,0.000,0.000,0.984375
1320,1120602.539600000018254,1673707.949100000085309,1121102.539600000018254,1673207.949100000318140,76,11,250110.035,0.003,560.897000,0.002,0.002,1
1321,1120602.539600000018254,1673207.949100000318140,1121102.539600000018254,1672707.949100000085309,77,11,250110.035,0.000,,,,1
1322,1120602.539600000018254,1672707.949100000085309,1121102.539600000018254,1672207.949100000318140,78,11,250110.035,0.000,,,,1
1323,1120602.539600000018254,1672207.949100000318140,1121102.539600000018254,1671707.949100000085309,79,11,250110.035,0.003,747.053000,0.003,0.003,0.955017301038062
1324,1120602.539600000018254,1671707.949100000085309,1121102.539600000018254,1671207.949100000318140,80,11,250110.035,0.013,2163.445000,0.009,0.009,0.733031674208145
1325,1120602.539600000018254,1671207.949100000318140,1121102.539600000018254,1670707.949100000085309,81,11,250110.035,0.003,685.447000,0.003,0.003,0
1326,1120602.539600000018254,1670707.949100000085309,1121102.539600000018254,1670207.949100000318140,82,11,250110.035,0.008,1734.453000,0.007,0.007,0
1327,1120602.539600000018254,1670207.949100000318140,1121102.539600000018254,1669707.949100000085309,83,11,205696.375,0.001,96.734000,0.000,0.000,0
1328,1120602.539600000018254,1669707.949100000085309,1121102.539600000018254,1669207.949100000318140,84,11,30779.513,0.032,779.542000,0.025,0.025,0
1329,1120602.539600000018254,1669207.949100000318140,1121102.539600000018254,1668707.949100000085309,85,11,194013.108,0.014,1935.377000,0.010,0.010,0
1330,1120602.539600000018254,1668707.949100000085309,1121102.539600000018254,1668207.949100000318140,86,11,221145.474,0.010,1479.968000,0.007,0.007,0
1331,1120602.539600000018254,1668207.949100000318140,1121102.539600000018254,1667707.949100000085309,87,11,202398.426,0.002,371.496000,0.002,0.002,0
1332,1120602.539600000018254,1667707.949100000085309,1121102.539600000018254,1667207.949100000318140,88,11,86717.145,0.000,,,,0
1409,1121102.539600000018254,1685707.949100000085309,1121602.539600000018254,1685207.949100000318140,52,12,138117.435,0.001,105.099000,0.001,0.001,0.967532467532468
1410,1121102.539600000018254,1685207.949100000318140,1121602.539600000018254,1684707.949100000085309,53,12,250109.291,0.149,43839.768000,0.175,0.175,0.496478873239437
1411,1121102.539600000018254,1684707.949100000085309,1121602.539600000018254,1684207.949100000318140,54,12,250109.290,0.431,112505.409000,0.450,0.450,0
1412,1121102.539600000018254,1684207.949100000318140,1121602.539600000018254,1683707.949100000085309,55,12,250109.290,0.100,48981.619000,0.196,0.196,0.264705882352941
1413,1121102.539600000018254,1683707.949100000085309,1121602.539600000018254,1683207.949100000318140,56,12,250109.290,0.009,3700.078000,0.015,0.015,0.876923076923077
1414,1121102.539600000018254,1683207.949100000318140,1121602.539600000018254,1682707.949100000085309,57,12,250109.290,0.001,146.158000,0.001,0.001,0.826989619377163
1415,1121102.539600000018254,1682707.949100000085309,1121602.539600000018254,1682207.949100000318140,58,12,184022.573,0.000,,,,0.971014492753623
1416,1121102.539600000018254,1682207.949100000318140,1121602.539600000018254,1681707.949100000085309,59,12,595.648,0.000,,,,0
1421,1121102.539600000018254,1679707.949100000085309,1121602.539600000018254,1679207.949100000318140,64,12,99451.942,0.339,36761.113000,0.370,0.370,0.227272727272727
1422,1121102.539600000018254,1679207.949100000318140,1121602.539600000018254,1678707.949100000085309,65,12,250109.289,0.558,144121.497000,0.576,0.576,0.00709219858156028
1423,1121102.539600000018254,1678707.949100000085309,1121602.539600000018254,1678207.949100000318140,66,12,250109.289,0.583,169244.923000,0.677,0.677,0.078125
